strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_fee_to_tx_cost_ratio,mean_validation_rebalance_count,eligible
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.015,,0.04,0.005,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,16,-0.006112010819683577,0.0008304163657878935,0.0009575293268655471,-0.0033906052079807347,0.0031838090996625917,-0.0033906052079807347,0.75,0.0,0,1.8059946840487675,1.1286964299789826,1.600071229145641,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.03,,0.04,0.005,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,17,-0.006501072475530849,0.0004993381082796821,0.000428515682354913,-0.0030645143069303327,0.002917776084144409,-0.0030645143069303327,0.6470588235294118,0.0,0,0.9506506744920249,1.0984825794039998,0.8654217120200635,0.0,False
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.005,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,18,-0.006595184257378279,0.0006093769611012058,0.0003961267522979428,-0.003373568285243933,0.0028759404998840504,-0.003373568285243933,0.6666666666666666,0.0,0,1.385920832628127,1.0986976558742825,1.2614214886308175,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.003,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,15,-0.006820275417334865,0.00022620858477515605,0.00035594962013485443,-0.003373568285243933,0.0028759404998840504,-0.003373568285243933,0.6666666666666666,0.0,0,1.4486937277625325,1.1792782762803766,1.2284579109961502,0.13333333333333333,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.01,,0.04,0.015,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,15,-0.006851799797914802,0.0006432898080382647,0.0010756708497934309,-0.005239385125324625,0.0030922236392724014,-0.005239385125324625,0.8,0.06666666666666667,1,1.9986154615882634,1.0440139574143428,1.9143570326762054,0.13333333333333333,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.01,,0.04,0.02,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,15,-0.006851799797914802,0.0006432898080382647,0.0010756708497934309,-0.005239385125324625,0.0030922236392724014,-0.005239385125324625,0.8,0.0,0,1.9986154615882634,1.0440139574143428,1.9143570326762054,0.13333333333333333,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.01,,0.04,0.01,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,15,-0.006851799797914802,0.0006432898080382647,0.0010756708497934309,-0.005239385125324625,0.0030922236392724014,-0.005239385125324625,0.8,0.13333333333333333,2,1.9986154615882634,1.0440139574143428,1.9143570326762054,0.13333333333333333,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.01,,0.04,0.0075,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,15,-0.006851799797914802,0.0006420828769598523,0.0010756708497934309,-0.005239385125324625,0.0030922236392724014,-0.005239385125324625,0.8,0.0,0,1.9986315904893022,1.050403022459709,1.9027283316542105,0.2,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.01,,0.04,0.005,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,15,-0.006851799797914802,0.0006420580851821696,0.0010756708497934309,-0.005239385125324625,0.0030922236392724014,-0.005239385125324625,0.8,0.0,0,1.9986337016964209,1.0503573729482936,1.9028130359920923,0.2,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.025,,0.04,0.005,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,18,-0.007164069308672101,0.0004515421159424308,0.0003202605023168159,-0.003363346063428807,0.0028449019322447006,-0.003363346063428807,0.6111111111111112,0.0,0,1.1322191886662312,1.121759641458028,1.0093242320561722,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007332579321456468,0.00037278490055032466,0.00035594962013485443,-0.0038858721893655357,0.0028759404998840504,-0.0038858721893655357,0.631578947368421,0.0,0,1.4243422591850872,1.102174434647211,1.2923020298878525,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.015,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007332579321456468,0.00037278490055032466,0.00035594962013485443,-0.0038858721893655357,0.0028759404998840504,-0.0038858721893655357,0.631578947368421,0.0,0,1.4243422591850872,1.102174434647211,1.2923020298878525,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.02,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007332579321456468,0.00037278490055032466,0.00035594962013485443,-0.0038858721893655357,0.0028759404998840504,-0.0038858721893655357,0.631578947368421,0.0,0,1.4243422591850872,1.102174434647211,1.2923020298878525,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.0075,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,18,-0.007577016007964534,0.00032989461334550124,0.0002597284312136905,-0.0038858721893655357,0.0028759404998840504,-0.0038858721893655357,0.6111111111111112,0.0,0,1.340440366628436,1.108457745570114,1.2092841355346444,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.0175,,0.04,0.02,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,16,-0.007634008809656017,0.00021011968143398035,0.00029934475346482525,-0.0038858721893655357,0.002948043524925531,-0.0038858721893655357,0.5625,0.0,0,1.5473988378287329,1.094751162149662,1.4134708336735158,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.0075,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007655623237459016,0.0003201418524718026,0.00035594962013485443,-0.0038858721893655357,0.0031989844158865984,-0.0038858721893655357,0.631578947368421,0.0,0,1.388791887837249,1.0835237587869244,1.281736442394297,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.005,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007655623237459016,0.0003201418524718026,0.00035594962013485443,-0.0038858721893655357,0.0031989844158865984,-0.0038858721893655357,0.631578947368421,0.0,0,1.388791887837249,1.0835237587869244,1.281736442394297,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.015,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007655623237459016,0.0003201418524718026,0.00035594962013485443,-0.0038858721893655357,0.0031989844158865984,-0.0038858721893655357,0.631578947368421,0.0,0,1.388791887837249,1.0835237587869244,1.281736442394297,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.02,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007655623237459016,0.0003201418524718026,0.00035594962013485443,-0.0038858721893655357,0.0031989844158865984,-0.0038858721893655357,0.631578947368421,0.0,0,1.388791887837249,1.0835237587869244,1.281736442394297,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007655623237459016,0.0003201418524718026,0.00035594962013485443,-0.0038858721893655357,0.0031989844158865984,-0.0038858721893655357,0.631578947368421,0.0,0,1.388791887837249,1.0835237587869244,1.281736442394297,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.003,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,19,-0.007655623237459016,0.0002683668072856325,0.00035594962013485443,-0.0038858721893655357,0.0031989844158865984,-0.0038858721893655357,0.631578947368421,0.0,0,1.3888527527864025,1.111884845505303,1.2490976546723502,0.15789473684210525,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.0175,,0.04,0.0075,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,17,-0.007687417424471565,0.00019792328559396205,0.0001494059830897676,-0.0038858721893655357,0.002948043524925531,-0.0038858721893655357,0.5882352941176471,0.0,0,1.4770367327457918,1.1077115397664292,1.3334127881860274,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.0175,,0.04,0.01,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,17,-0.007687417424471565,0.00019792328559396205,0.0001494059830897676,-0.0038858721893655357,0.002948043524925531,-0.0038858721893655357,0.5882352941176471,0.0,0,1.4770367327457918,1.1077115397664292,1.3334127881860274,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.0175,,0.04,0.015,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,17,-0.007687417424471565,0.00019792328559396205,0.0001494059830897676,-0.0038858721893655357,0.002948043524925531,-0.0038858721893655357,0.5882352941176471,0.0,0,1.4770367327457918,1.1077115397664292,1.3334127881860274,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.0175,,0.04,0.005,-0.01,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,17,-0.007687417424471565,0.00019792328559396205,0.0001494059830897676,-0.0038858721893655357,0.002948043524925531,-0.0038858721893655357,0.5882352941176471,0.11764705882352941,2,1.4770367327457918,1.1077115397664292,1.3334127881860274,0.0,True
