event_type,block_time,tx_hash,gas_used,l2_gwei,l2_eth,l1_eth,total_eth
mint,2026-03-04T16:51:45+00:00,0x23ec1845...,520544,0.00792,4.12284121872e-06,2.1301533178e-08,4.144142751898e-06
mint,2026-03-25T07:30:57+00:00,0x1c7870fe...,387601,0.006,2.325606e-06,9.16054308e-10,2.326522054308e-06
mint,2026-03-25T07:36:41+00:00,0xa1ae9875...,285073,0.006006,1.712152999168e-06,8.30895608e-10,1.712983894776e-06
burn,2026-03-25T08:10:35+00:00,0xa18cdf85...,470297,0.006375,2.998342780928e-06,2.380712743e-09,3.000723493671e-06
burn,2026-03-26T07:26:11+00:00,0xaef27ff1...,475873,0.006332,3.013381542979e-06,3.428241968e-09,3.0168097849469998e-06
burn,2026-03-26T07:28:19+00:00,0xcb8b2f28...,436097,0.006257,2.728764028377e-06,2.919191052e-09,2.731683219429e-06
burn,2026-03-27T09:24:39+00:00,0xcdc15cf8...,415574,0.006482,2.69386702872e-06,9.828764584e-09,2.703695793304e-06
mint,2026-03-27T10:58:37+00:00,0x44a85e12...,384383,0.095319,3.6638978576488e-05,6.378286565e-09,3.6645356863053e-05
mint,2026-03-27T11:00:15+00:00,0x537eadab...,286691,0.083498,2.3938108489922e-05,9.132991522e-09,2.3947241481444e-05
mint,2026-03-27T11:47:07+00:00,0x9341dfe8...,323703,0.006,1.942218e-06,3.994372095e-09,1.946212372095e-06
burn,2026-03-27T13:43:35+00:00,0xfdcbe431...,458965,0.015363,7.051188987635e-06,2.2472691775e-08,7.07366167941e-06
mint,2026-03-27T13:54:21+00:00,0x68f4974f...,218503,0.009,1.966527e-06,5.703032374e-09,1.972230032374e-06
burn,2026-03-27T13:58:07+00:00,0xa5f406a3...,436301,0.013251,5.781234760065e-06,2.630587462e-08,5.807540634685e-06
burn,2026-03-27T14:51:07+00:00,0x94858bda...,436277,0.012036,5.25094707937e-06,2.6272284697e-08,5.277219364067e-06
burn,2026-04-04T12:00:25+00:00,0x6055cfe7...,450543,0.006,2.703258e-06,6.752214954e-09,2.710010214954e-06
burn,2026-04-06T08:38:13+00:00,0x3dfc2f9a...,450555,0.006,2.70333e-06,1.221260719e-08,2.71554260719e-06
burn,2026-04-06T15:25:23+00:00,0x34354575...,441793,0.006,2.650758e-06,1.2281779671e-08,2.663039779671e-06
burn,2026-04-07T11:03:05+00:00,0xebe746f4...,450567,0.006,2.703402e-06,1.1835363212e-08,2.715237363212e-06
burn,2026-04-07T16:48:27+00:00,0x6c2f8566...,447779,0.006,2.686674e-06,7.951011388e-09,2.694625011388e-06
mint,2026-04-08T08:06:57+00:00,0x96f0da80...,452230,0.005,2.26115135669e-06,5.251124426e-09,2.266402481116e-06
burn,2026-04-08T08:08:45+00:00,0xbdd737c5...,172697,0.105,1.8133185e-05,2.787434092e-09,1.8135972434092e-05
mint,2026-04-08T09:19:19+00:00,0x146b1b2e...,447398,0.105,4.697679e-05,5.273643071e-09,4.6982063643071e-05
burn,2026-04-08T09:23:25+00:00,0x2f887f93...,189765,0.005,9.48825948825e-07,2.260482726e-09,9.510864315509999e-07
burn,2026-04-08T09:38:29+00:00,0x513a1b06...,511056,0.006,3.066336e-06,1.4715428834e-08,3.081051428834e-06
burn,2026-04-08T09:43:29+00:00,0x8adb14d8...,653515,0.006,3.92109e-06,1.319499855e-08,3.9342849985499994e-06
mint,2026-04-08T09:44:13+00:00,0xb4307d42...,452234,0.105,4.748457e-05,6.057446381e-09,4.7490627446381e-05
burn,2026-04-08T13:15:49+00:00,0xc66ebe15...,508256,0.006,3.049536e-06,3.007253959e-08,3.07960853959e-06
burn,2026-04-08T13:48:15+00:00,0x6fea4da6...,505468,0.006,3.032808e-06,2.3698848381e-08,3.056506848381e-06
