strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,composite,net_return,max_drawdown,time_in_range,episode_count,rebalance_count,total_fees,total_transaction_cost,fee_to_transaction_cost_ratio,total_price_impact_cost,final_value,divergent_loss
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.001,-0.0025,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889220389492556,0.02554849599613873,0.03843771638563129,0.7118119975262832,64,63,13.313037363417518,3.8383039769098146,3.4684687412735165,0.45603705195151967,461.49682319826246,0.02554849599613873
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.001,-0.005,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889220389492556,0.02554849599613873,0.03843771638563129,0.7118119975262832,64,63,13.313037363417518,3.8383039769098146,3.4684687412735165,0.45603705195151967,461.49682319826246,0.02554849599613873
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.001,-0.01,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889220389492556,0.02554849599613873,0.03843771638563129,0.7118119975262832,64,63,13.313037363417518,3.8383039769098146,3.4684687412735165,0.45603705195151967,461.49682319826246,0.02554849599613873
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.12,0.001,-0.02,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889220389492556,0.02554849599613873,0.03843771638563129,0.7118119975262832,64,63,13.313037363417518,3.8383039769098146,3.4684687412735165,0.45603705195151967,461.49682319826246,0.02554849599613873
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.1,0.001,-0.0025,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889860159456229,0.02554785622617506,0.03843771638563129,0.7118119975262832,64,63,13.313006984978479,3.8382535912076747,3.468506358067303,0.4560365695228359,461.4965353017788,0.02554785622617506
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.1,0.001,-0.005,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889860159456229,0.02554785622617506,0.03843771638563129,0.7118119975262832,64,63,13.313006984978479,3.8382535912076747,3.468506358067303,0.4560365695228359,461.4965353017788,0.02554785622617506
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.1,0.001,-0.01,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889860159456229,0.02554785622617506,0.03843771638563129,0.7118119975262832,64,63,13.313006984978479,3.8382535912076747,3.468506358067303,0.4560365695228359,461.4965353017788,0.02554785622617506
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.1,0.001,-0.02,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.012889860159456229,0.02554785622617506,0.03843771638563129,0.7118119975262832,64,63,13.313006984978479,3.8382535912076747,3.468506358067303,0.4560365695228359,461.4965353017788,0.02554785622617506
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.08,0.001,-0.0025,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.013031989628774693,0.025405726756856595,0.03843771638563129,0.7118119975262832,64,63,13.312901298002465,3.8382473131758124,3.468484496114246,0.4560318211546611,461.43257704058544,0.025405726756856595
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.005,,0.08,0.001,-0.005,0.02,,1,spot,100.0,450.0,0.015,0.015,False,-0.013031989628774693,0.025405726756856595,0.03843771638563129,0.7118119975262832,64,63,13.312901298002465,3.8382473131758124,3.468484496114246,0.4560318211546611,461.43257704058544,0.025405726756856595
