strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_fee_to_tx_cost_ratio,mean_validation_rebalance_count,eligible
ewma,volatility,ewma,2.75,0.95,0.6,False,5.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.007522089086315451,0.0030831464245906215,0.0030831464245906215,0.0030831464245906215,9.134613330418577e-07,0.0030831464245906215,1.0,1.0,1,4.513303793602523,1.1611446362722009,3.8869436697328834,1.0,True
ewma,volatility,ewma,2.25,0.975,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.25,0.975,0.5,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.25,0.99,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.25,0.99,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.25,0.99,0.5,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.5,0.99,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.75,0.975,0.5,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.75,0.975,0.6,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
ewma,volatility,ewma,2.75,0.99,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.0063122274326969235,0.0025151055341863238,0.0025151055341863238,0.0025151055341863238,0.0,0.0025151055341863238,1.0,0.0,0,3.5419987021940695,0.98282402677244,3.603899177990052,0.0,True
