strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_fee_to_tx_cost_ratio,mean_validation_rebalance_count,eligible
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.0025,0.0,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,1.0,1,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.0025,0.02,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.0025,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.0025,0.1,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.06,0.01,-0.0025,0.0,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.06,0.01,-0.0025,0.02,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.06,0.01,-0.0025,0.05,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.06,0.01,-0.0025,0.1,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.08,0.01,-0.0025,0.0,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.08,0.01,-0.0025,0.02,,1,spot,100.0,1200.0,0.073,0.022,False,1,0.008599323577880298,0.004036882202835823,0.004036882202835823,0.004036882202835823,0.0003068355630747746,0.004036882202835823,1.0,0.0,0,3.591636703525229,1.1495582136502245,3.124362612416647,0.0,True
