strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_rebalance_count,eligible
ewma,volatility,ewma,2.75,0.95,0.6,False,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.006194568585315119,0.0030981977539905614,0.0030981977539905614,0.0030981977539905614,9.13461333001897e-07,0.0030981977539905614,1.0,1.0,1,4.513374639428029,1.1431636728075838,1.0,True
ewma,volatility,ewma,2.75,0.95,0.6,False,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.006194568585315119,0.0030981977539905614,0.0030981977539905614,0.0030981977539905614,9.13461333001897e-07,0.0030981977539905614,1.0,0.0,0,4.513374639428029,1.1431636728075838,1.0,True
ewma,volatility,ewma,0.5,0.999,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,1.0,1,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.5,0.999,0.5,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.5,0.999,0.6,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.5,0.999,0.7,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.5,0.999,0.8,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.75,0.999,0.3,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.75,0.999,0.4,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
ewma,volatility,ewma,0.75,0.999,0.5,False,15.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,0.0051737506157296664,0.0025868753078648332,0.0025868753078648332,0.0025868753078648332,0.0,0.0025868753078648332,1.0,0.0,0,2.591379978467325,1.8129270871514576,3.0,True
