window_index,window_start,window_end,train_event_count,train_swap_count,train_liquidity_event_count,val_event_count,val_swap_count,skipped_reason,strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,train_rank,validation_rank,train_composite,train_net_return,train_max_drawdown,train_time_in_range,train_episode_count,train_rebalance_count,train_total_fees,train_total_transaction_cost,train_fee_to_transaction_cost_ratio,train_total_price_impact_cost,train_final_value,train_divergent_loss,validation_composite,validation_net_return,validation_max_drawdown,validation_time_in_range,validation_episode_count,validation_rebalance_count,validation_total_fees,validation_total_transaction_cost,validation_fee_to_transaction_cost_ratio,validation_total_price_impact_cost,validation_final_value,validation_divergent_loss
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,2.5,0.95,0.8,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,1,20,-0.022172105614528488,-0.009317445632292087,0.0128546599822364,0.75,17,16,10.104692052288403,3.6760147636746576,2.7488170483263894,0.36926629538409134,1188.8190652412495,-0.009317445632292087,3.761608219148575e-05,3.844813275355463e-05,8.320505620688814e-07,0.88,5,4,2.7819838840492164,2.3212298379381737,1.1984956588875775,0.022554018720561887,1200.0461377593042,3.844813275355463e-05
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,2.25,0.95,0.8,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,2,8,-0.022830417712710452,-0.009623564073575785,0.013206853639134668,0.745,18,17,9.955576034824784,3.982219664686667,2.500006748273671,0.38074820103932133,1188.451723111709,-0.009623564073575785,0.0022275076657485293,0.0022275076657485293,0.0,0.88,4,3,3.0313628016674485,1.0125850911206509,2.9936869782593485,2.4431730010790387e-06,1202.6730091988982,0.0022275076657485293
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,2.5,0.95,0.7,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,3,16,-0.022997701394041673,-0.009707380441717373,0.0132903209523243,0.74,19,18,9.954666111114019,4.082035671202921,2.438652406038508,0.38072945819529025,1188.3511434699392,-0.009707380441717373,0.0013453324344292305,0.0013462460828015388,9.136483723081736e-07,0.92,4,3,4.3040333035828,2.0593165675282363,2.0900299504455795,0.005134905862866844,1201.6154952993618,0.0013462460828015388
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,2.75,0.95,0.7,False,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,4,3,-0.02317694152333904,-0.01007704127429676,0.013099900249042276,0.8,6,5,9.083555509179343,2.9917803058725814,3.0361706343708406,0.42412366396453666,1187.907550470844,-0.01007704127429676,0.002680555422322654,0.0026813175272546452,7.621049319909227e-07,0.92,2,1,3.8885504906186203,1.1431636728075838,3.4015693317724396,5.489224020995944e-06,1203.2175810327055,0.0026813175272546452
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,3.0,0.95,0.7,False,5.0,,,,,,,,1,spot,100.0,1200.0,,,False,5,4,-0.02317694152333904,-0.01007704127429676,0.013099900249042276,0.8,6,5,9.083555509179343,2.9917803058725814,3.0361706343708406,0.42412366396453666,1187.907550470844,-0.01007704127429676,0.002680555422322654,0.0026813175272546452,7.621049319909227e-07,0.92,2,1,3.8885504906186203,1.1431636728075838,3.4015693317724396,5.489224020995944e-06,1203.2175810327055,0.0026813175272546452
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,2.75,0.95,0.7,False,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,6,5,-0.023379446635963357,-0.010279546386921079,0.013099900249042276,0.78,9,8,8.667288244738002,3.2948506803918414,2.6305557020590813,0.42412644384432924,1187.6645443356947,-0.010279546386921079,0.002680555422322654,0.0026813175272546452,7.621049319909227e-07,0.92,2,1,3.8885504906186203,1.1431636728075838,3.4015693317724396,5.489224020995944e-06,1203.2175810327055,0.0026813175272546452
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,3.0,0.95,0.7,False,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,7,6,-0.023379446635963357,-0.010279546386921079,0.013099900249042276,0.78,9,8,8.667288244738002,3.294850680391614,2.6305557020592625,0.42412644384410186,1187.6645443356947,-0.010279546386921079,0.002680555422322654,0.0026813175272546452,7.621049319909227e-07,0.92,2,1,3.8885504906186203,1.1431636728075838,3.4015693317724396,5.489224020995944e-06,1203.2175810327055,0.0026813175272546452
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,3.0,0.95,0.5,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,8,13,-0.023618003812337272,-0.010016681348708034,0.013601322463629236,0.79,16,15,9.963792383049627,4.195306957400732,2.3749853072069014,0.3796635388693205,1187.9799823815504,-0.010016681348708034,0.0015477679050236684,0.0015594684284587768,1.1700523435108305e-05,0.92,3,2,3.883384947101995,1.4626884309994668,2.654963876653107,0.012527075213018215,1201.8713621141505,0.0015594684284587768
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,3.0,0.95,0.4,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,9,11,-0.024070855143356523,-0.009688500418095547,0.014382354725260978,0.755,23,22,10.053531096657677,5.041565340543269,1.9941288900511063,0.47120302073540044,1188.3737994982853,-0.009688500418095547,0.0017528898978172048,0.0017669168601739393,1.4026962356734654e-05,0.92,3,2,4.5071227212382805,1.5091976588535188,2.986436332443143,0.01800924122999326,1202.1203002322088,0.0017669168601739393
0,2026-03-12T15:00:55+00:00,2026-03-15T10:23:37+00:00,200,200,0,50,50,,ewma,volatility,ewma,2.75,0.95,0.5,True,3.0,,,,,,,,1,spot,100.0,1200.0,,,False,10,12,-0.02454311973648949,-0.010772283693177287,0.013770836043312204,0.77,20,19,9.611427988137214,4.397793531290182,2.185511420614034,0.39363903210669066,1187.0732595681873,-0.010772283693177287,0.0017078973734060872,0.0017088135213452205,9.16147939133376e-07,0.94,3,2,4.55051011066828,1.8223970546450903,2.496991585379009,7.3610395285186685e-06,1202.0505762256143,0.0017088135213452205
