strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,initial_capital_usd,mint_gas_usd,remove_gas_usd,unwind_to_cash_on_exit,valid_window_count,robust_validation_score,mean_validation_net_return,median_validation_net_return,min_validation_net_return,worst_window_max_drawdown,worst_window_divergent_loss,positive_window_rate,validation_top_rank_rate,windows_won,mean_validation_total_fees,mean_validation_total_transaction_cost,mean_validation_rebalance_count,eligible
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.005,0.0,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,1.0,1,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.005,0.02,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.005,0.05,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.005,0.1,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.01,0.0,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.01,0.02,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.01,0.05,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.01,0.1,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.02,0.0,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.02,0.02,,1,spot,100.0,450.0,,,False,1,0.00171579999916053,0.0008811380451956285,0.0008811380451956285,0.0008811380451956285,2.3238045615363514e-05,0.0008811380451956285,1.0,0.0,0,0.037915065953677024,0.46448833241363874,0.0,True
