strategy_mode,range_mode,center_mode,sd_multiplier,ewma_lambda,downside_skew,preemptive_rebalance,rebalance_threshold_pct,fixed_width_pct,fixed_tick_width,harvest_upward_range_fraction,profit_take_return,stop_loss_return,out_of_range_overshoot_fraction,min_exit_swap_volume_usd,exit_confirmation_swaps,exit_price_mode,exit_price_min_swap_volume_usd,unwind_to_cash_on_exit,valid_window_count,mean_train_net_return,mean_validation_net_return,median_validation_net_return,min_validation_net_return,positive_window_rate,mean_validation_max_drawdown,mean_validation_total_fees,mean_validation_transaction_cost,mean_validation_rebalance_count,pool,strategy,method,train_validation_gap,return_percentile_among_positive,consistency_percentile_among_positive,selection_score,rank,mean_train_net_return_pct,mean_validation_net_return_pct,median_validation_net_return_pct,min_validation_net_return_pct,mean_validation_max_drawdown_pct,train_validation_gap_pct,positive_window_rate_pct
ewma,volatility,ewma,2.75,0.95,0.5,False,10.0,,,,,,,,1,spot,100.0,False,1,0.0006030330498902,0.0026579453989041,0.0026579453989041,0.0026579453989041,1.0,0.0004818581410071,4.44570150641412,1.9380279943153644,3.0,uni_base,ewma,Base EWMA,0.0020549123490139,0.9864864864864865,0.7054054054054054,0.9302702702702703,1,0.06030330498902001,0.26579453989041,0.26579453989041,0.26579453989041,0.048185814100709996,0.20549123490139,100.0
ewma,volatility,ewma,2.75,0.95,0.5,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0006030330498902,0.0026579453989041,0.0026579453989041,0.0026579453989041,1.0,0.0004818581410071,4.44570150641412,1.9380279943153644,3.0,uni_base,ewma,Base EWMA,0.0020549123490139,0.9864864864864865,0.7054054054054054,0.9302702702702703,2,0.06030330498902001,0.26579453989041,0.26579453989041,0.26579453989041,0.048185814100709996,0.20549123490139,100.0
ewma,volatility,ewma,0.5,0.999,0.3,False,15.0,,,,,,,,1,spot,100.0,False,1,0.0015683498352359,0.0025868753078648,0.0025868753078648,0.0025868753078648,1.0,0.0,2.591379978467325,1.8129270871514576,3.0,uni_base,ewma,Base EWMA,0.0010185254726288997,0.9324324324324325,0.8783783783783784,0.9216216216216216,3,0.15683498352359002,0.25868753078648,0.25868753078648,0.25868753078648,0.0,0.10185254726288998,100.0
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.0025,0.05,,1,spot,100.0,False,1,0.0046815184202519,0.0040561239145497,0.0040561239145497,0.0040561239145497,1.0,0.0003068355630745,3.591705534899111,1.1265830269710435,0.0,uni_base,paper,Base Paper,0.0006253945057022002,0.949468085106383,0.8696808510638298,0.9335106382978724,1,0.46815184202519,0.40561239145496997,0.40561239145496997,0.40561239145496997,0.03068355630745,0.06253945057022002,100.0
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.04,0.01,-0.0025,0.1,,1,spot,100.0,False,1,0.0046815184202519,0.0040561239145497,0.0040561239145497,0.0040561239145497,1.0,0.0003068355630745,3.591705534899111,1.1265830269710435,0.0,uni_base,paper,Base Paper,0.0006253945057022002,0.949468085106383,0.8696808510638298,0.9335106382978724,2,0.46815184202519,0.40561239145496997,0.40561239145496997,0.40561239145496997,0.03068355630745,0.06253945057022002,100.0
paper,fixed_pct_width,ewma,1.5,0.99,0.5,False,5.0,0.02,,0.06,0.01,-0.0025,0.05,,1,spot,100.0,False,1,0.0046815184202519,0.0040561239145497,0.0040561239145497,0.0040561239145497,1.0,0.0003068355630745,3.591705534899111,1.1265830269710435,0.0,uni_base,paper,Base Paper,0.0006253945057022002,0.949468085106383,0.8696808510638298,0.9335106382978724,3,0.46815184202519,0.40561239145496997,0.40561239145496997,0.40561239145496997,0.03068355630745,0.06253945057022002,100.0
ewma,volatility,ewma,3.0,0.975,0.5,False,15.0,,,,,,,,1,spot,100.0,False,1,-0.0072151660380465,0.0010594682781139,0.0010594682781139,0.0010594682781139,1.0,0.0,0.4028420071365708,0.4801391253860249,0.0,uni_bsc,ewma,BSC EWMA,0.0082746343161604,0.96,0.12,0.792,1,-0.72151660380465,0.10594682781139,0.10594682781139,0.10594682781139,0.0,0.82746343161604,100.0
ewma,volatility,ewma,2.75,0.975,0.5,False,15.0,,,,,,,,1,spot,100.0,False,1,-0.0072151660380472,0.0010594682781139,0.0010594682781139,0.0010594682781139,1.0,0.0,0.4028420071365708,0.4801391253860249,0.0,uni_bsc,ewma,BSC EWMA,0.0082746343161611,0.96,0.08,0.784,2,-0.72151660380472,0.10594682781139,0.10594682781139,0.10594682781139,0.0,0.82746343161611,100.0
ewma,volatility,ewma,2.5,0.975,0.5,False,15.0,,,,,,,,1,spot,100.0,False,1,-0.0072151660380475,0.0010594682781139,0.0010594682781139,0.0010594682781139,1.0,0.0,0.4028420071365708,0.4801391253860249,0.0,uni_bsc,ewma,BSC EWMA,0.0082746343161614,0.96,0.04,0.776,3,-0.72151660380475,0.10594682781139,0.10594682781139,0.10594682781139,0.0,0.82746343161614,100.0
paper,fixed_pct_width,spot,1.5,0.99,0.5,False,5.0,0.1,,0.04,0.005,-0.02,0.0,,1,spot,100.0,False,1,0.0051771883524132,0.0008811380451956,0.0008811380451956,0.0008811380451956,1.0,2.3238045615363514e-05,0.037915065953677,0.4644883324136387,0.0,uni_bsc,paper,BSC Paper,0.0042960503072176,0.6607142857142857,0.375,0.6035714285714286,1,0.51771883524132,0.08811380451956001,0.08811380451956001,0.08811380451956001,0.0023238045615363513,0.42960503072176004,100.0
